country_code,shop_id,date,item_id,category_slug,category_id
id,1368540320,2026-07-02,28036053313,258485608,258485608
id,1368540320,2026-07-02,56600897084,258485608,258485608
id,1368540320,2026-07-02,28934445366,258485608,258485608
id,1368540320,2026-07-02,40004031932,258485608,258485608
id,1368540320,2026-07-02,50900285453,258485608,258485608
id,1368540320,2026-07-02,41753991537,258485608,258485608
id,1368540320,2026-07-02,40216847326,258530308,258530308
id,1368540320,2026-07-02,26120309394,258530308,258530308
id,1368540320,2026-07-02,42377307283,258530308,258530308
id,1368540320,2026-07-02,40216847326,262779957,262779957
id,1368540320,2026-07-02,42303994190,262779957,262779957
id,1368540320,2026-07-02,28036053313,262779957,262779957
id,1368540320,2026-07-02,42418380245,262779957,262779957
id,1368540320,2026-07-02,42717296336,262779957,262779957
id,1368540320,2026-07-02,43868361582,262779957,262779957
id,1368540320,2026-07-02,43818386633,262779957,262779957
id,1368540320,2026-07-02,40004031932,262779957,262779957
id,1368540320,2026-07-02,29141311734,262779957,262779957
id,1368540320,2026-07-02,40067607690,262780771,262780771
id,1368540320,2026-07-02,43317569775,262780771,262780771
id,1368540320,2026-07-02,40004031932,262780771,262780771
id,1368540320,2026-07-02,49162304776,262780771,262780771
id,1368540320,2026-07-02,51712602574,262780771,262780771
id,1368540320,2026-07-02,46662299954,262780771,262780771
id,1368540320,2026-07-02,40381755746,262780771,262780771
id,1368540320,2026-07-02,41753991537,262780771,262780771
id,1368540320,2026-07-02,40118761850,262780833,262780833
id,1368540320,2026-07-02,50903219820,262780833,262780833
id,1368540320,2026-07-02,56600897084,262780833,262780833
id,1368540320,2026-07-02,28934445366,262780833,262780833
id,1368540320,2026-07-02,54952247520,262781097,262781097
id,1368540320,2026-07-02,56600897084,262781097,262781097
id,1368540320,2026-07-02,28934445366,262781097,262781097
id,1368540320,2026-07-02,50900285453,262781097,262781097
id,1368540320,2026-07-02,57161987975,262782016,262782016
id,1368540320,2026-07-02,51162804412,262782016,262782016
id,1368540320,2026-07-02,54412798940,262782016,262782016
id,1368540320,2026-07-02,49162304776,262782016,262782016
id,1368540320,2026-07-02,51712602574,262782016,262782016
id,1368540320,2026-07-02,46662299954,262782016,262782016
id,1368540320,2026-07-02,40381755746,262782016,262782016
id,1368540320,2026-07-02,50900285453,266725540,266725540
id,1368540320,2026-07-02,43131681384,266725540,266725540
id,1368540320,2026-07-02,56810310860,266725540,266725540
id,1368540320,2026-07-03,28934445366,258485608,258485608
id,1368540320,2026-07-03,26120309394,258485608,258485608
id,1368540320,2026-07-03,40067607690,258485608,258485608
id,1368540320,2026-07-03,28036053313,258485608,258485608
id,1368540320,2026-07-03,56600897084,258485608,258485608
id,1368540320,2026-07-03,50900285453,258485608,258485608
id,1368540320,2026-07-03,40004031932,258485608,258485608
id,1368540320,2026-07-03,41753991537,258485608,258485608
id,1368540320,2026-07-03,26120309394,258530308,258530308
id,1368540320,2026-07-03,42377307283,258530308,258530308
id,1368540320,2026-07-03,40216847326,258530308,258530308
id,1368540320,2026-07-03,42418380245,262779957,262779957
id,1368540320,2026-07-03,42303994190,262779957,262779957
id,1368540320,2026-07-03,28036053313,262779957,262779957
