country_code,platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
id,Shopee,758395205,get_category,100976,100678,Baby Laundry Detergent,Baby Laundry Detergent,FALSE,
id,Shopee,758395205,get_category,100975,100678,Wipes,Wipes,FALSE,
id,Shopee,758395205,get_category,100974,100678,Baby Grooming Tools,Baby Grooming Tools,FALSE,
id,Shopee,758395205,get_category,100973,100678,Baby Colognes & Fragrances,Baby Colognes & Fragrances,FALSE,
id,Shopee,758395205,get_category,100972,100678,Hair Care & Body Wash,Hair Care & Body Wash,FALSE,
id,Shopee,758395205,get_category,100971,100678,Bathing Tools & Accessories,Bathing Tools & Accessories,FALSE,
id,Shopee,758395205,get_category,100970,100678,Shower Caps,Penutup Rambut Mandi,FALSE,
id,Shopee,758395205,get_category,100969,100678,"Bath Robes, Towels & Wash Cloths","Bath Robes, Towels & Wash Cloths",FALSE,
id,Shopee,758395205,get_category,100968,100678,Bathing Tubs & Seats,Bathing Tubs & Seats,FALSE,
id,Shopee,758395205,get_category,100677,100632,Maternity Healthcare,Maternity Healthcare,TRUE,
id,Shopee,758395205,get_category,100967,100677,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,100966,100677,Moisturizers & Creams,Moisturizers & Creams,FALSE,
id,Shopee,758395205,get_category,100965,100677,Maternity Vitamins & Supplement,Maternity Vitamins & Supplement,FALSE,
id,Shopee,758395205,get_category,100964,100677,Maternity Milk,Maternity Milk,FALSE,
id,Shopee,758395205,get_category,100676,100632,Maternity Accessories,Maternity Accessories,TRUE,
id,Shopee,758395205,get_category,100963,100676,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,100962,100676,Maternity Pillows,Maternity Pillows,FALSE,
id,Shopee,758395205,get_category,100961,100676,Supporting Belts,Supporting Belts,FALSE,
id,Shopee,758395205,get_category,100675,100632,Feeding Essentials,Feeding Essentials,TRUE,
id,Shopee,758395205,get_category,100960,100675,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,100959,100675,Food Processors,Food Processors,FALSE,
id,Shopee,758395205,get_category,100958,100675,Pacifiers,Pacifiers,FALSE,
id,Shopee,758395205,get_category,100957,100675,Bibs,Bibs,FALSE,
id,Shopee,758395205,get_category,100956,100675,Utensils,Utensils,TRUE,
id,Shopee,758395205,get_category,101705,100956,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101704,100956,Baby Food Containers,Baby Food Containers,FALSE,
id,Shopee,758395205,get_category,101703,100956,Baby Tableware,Baby Tableware,FALSE,
id,Shopee,758395205,get_category,101702,100956,Baby Cups,Baby Cups,FALSE,
id,Shopee,758395205,get_category,100955,100675,Highchairs & Booster Seats,Highchairs & Booster Seats,FALSE,
id,Shopee,758395205,get_category,100954,100675,Breastfeeding,Breastfeeding,TRUE,
id,Shopee,758395205,get_category,101701,100954,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101700,100954,Breastmilk Storage Bags,Breastmilk Storage Bags,FALSE,
id,Shopee,758395205,get_category,101699,100954,Nursing Covers,Nursing Covers,FALSE,
id,Shopee,758395205,get_category,101698,100954,"Breast Pads, Shells & Shields","Breast Pads, Shells & Shields",FALSE,
id,Shopee,758395205,get_category,101697,100954,Breast Pump & Accessories,Breast Pump & Accessories,FALSE,
id,Shopee,758395205,get_category,100953,100675,Bottle-feeding,Bottle-feeding,TRUE,
id,Shopee,758395205,get_category,101696,100953,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101695,100953,Sterilizers,Sterilizers,FALSE,
id,Shopee,758395205,get_category,101694,100953,Warmers,Warmers,FALSE,
id,Shopee,758395205,get_category,101693,100953,Bottle Cleansing,Bottle Cleansing,FALSE,
